"Tamanho","Tecnica","Tempo","qtd_veh","seed"
"0600m","Between",5119.07,5040,"seed4976"
"0800m","Between",10485.53,7280,"seed4976"
"1000m","Between",11745.835,21665,"seed4976"
"0200m","Hibrido",2610.73913043478,1000,"seed4976"
"0400m","Hibrido",5080.42826086956,2520,"seed4976"
"0600m","Hibrido",4929.74130434783,5538,"seed4976"
"0800m","Hibrido",7522.08260869565,6440,"seed4976"
"1000m","Hibrido",6736.23260869565,9709,"seed4976"
"0200m","Degree",2566.8,1137,"seed4976"
"0400m","Degree",3774.6,1156,"seed4976"
"0600m","Degree",5716.8,6465,"seed4976"
"0800m","Degree",10297.8,9083,"seed4976"
"1000m","Degree",10674,19721,"seed4976"
"0200m","Fluxo",4253.76338028169,1347,"seed5000"
"0400m","Fluxo",2715.48169014084,559,"seed5000"
"0600m","Fluxo",5234.76338028169,3655,"seed5000"
"0800m","Fluxo",6844.89295774648,4781,"seed5000"
"1000m","Fluxo",6985.82535211268,10416,"seed5000"
"0200m","Between",4037.345,1123,"seed5000"
"0400m","Between",5139.9375,1117,"seed5000"
"0600m","Between",5133.865,5044,"seed5000"
"0800m","Between",10515.835,7285,"seed5000"
"1000m","Between",11779.7825,21680,"seed5000"
"0200m","Hibrido",2617.21739130435,1034,"seed5000"
"0400m","Hibrido",5093.0347826087,2606,"seed5000"
"0600m","Hibrido",4941.97391304348,5727,"seed5000"
"0800m","Hibrido",7540.74782608696,6661,"seed5000"
"1000m","Hibrido",6752.94782608696,10041,"seed5000"
"0200m","Degree",2571.93873873874,1137,"seed5000"
"0400m","Degree",3782.15675675676,1156,"seed5000"
"0600m","Degree",5728.24504504504,6465,"seed5000"
"0800m","Degree",10318.4162162162,9083,"seed5000"
"1000m","Degree",10695.3693693694,19721,"seed5000"
"0200m","Fluxo",4299.29295774648,1341,"seed583"
"0400m","Fluxo",2744.54647887324,556,"seed583"
"0600m","Fluxo",5290.79295774648,3640,"seed583"
"0800m","Fluxo",6918.15633802817,4761,"seed583"
"1000m","Fluxo",7060.59718309859,10371,"seed583"
"0200m","Between",4223.505,1118,"seed583"
"0400m","Between",5376.9375,1113,"seed583"
"0600m","Between",5370.585,5023,"seed583"
"0800m","Between",11000.715,7256,"seed583"
"1000m","Between",12322.9425,21591,"seed583"
"0200m","Hibrido",2727.34782608696,992,"seed583"
"0400m","Hibrido",5307.34565217391,2499,"seed583"
"0600m","Hibrido",5149.92826086956,5492,"seed583"
"0800m","Hibrido",7858.05652173913,6387,"seed583"
"1000m","Hibrido",7037.10652173913,9629,"seed583"
"0200m","Degree",2631.03423423423,1132,"seed583"
"0400m","Degree",3869.05945945946,1151,"seed583"
"0600m","Degree",5859.86306306306,6438,"seed583"
"0800m","Degree",10555.5027027027,9045,"seed583"
"1000m","Degree",10941.1171171171,19639,"seed583"
"0200m","Fluxo",4175.71267605634,1343,"seed7567"
"0400m","Fluxo",2665.65633802817,557,"seed7567"
"0600m","Fluxo",5138.71267605634,3645,"seed7567"
"0800m","Fluxo",6719.2985915493,4767,"seed7567"
"1000m","Fluxo",6857.64507042253,10385,"seed7567"
"0200m","Between",4153.695,1116,"seed7567"
"0400m","Between",5288.0625,1110,"seed7567"
"0600m","Between",5281.815,5013,"seed7567"
"0800m","Between",10818.885,7240,"seed7567"
"1000m","Between",12119.2575,21545,"seed7567"
"0200m","Hibrido",2701.4347826087,988,"seed7567"
"0400m","Hibrido",5256.91956521739,2489,"seed7567"
"0600m","Hibrido",5100.99782608696,5470,"seed7567"
"0800m","Hibrido",7783.39565217391,6361,"seed7567"
"1000m","Hibrido",6970.24565217391,9590,"seed7567"
"0200m","Degree",2566.8,1132,"seed7567"
"0400m","Degree",3774.6,1151,"seed7567"
"0600m","Degree",5716.8,6436,"seed7567"
"0800m","Degree",10297.8,9042,"seed7567"
"1000m","Degree",10674,19633,"seed7567"
"0200m","Fluxo",4240.75492957747,1343,"seed894"
"0400m","Fluxo",2707.17746478873,557,"seed894"
"0600m","Fluxo",5218.75492957747,3645,"seed894"
"0800m","Fluxo",6823.96056338028,4767,"seed894"
"1000m","Fluxo",6964.46197183099,10385,"seed894"
"0200m","Between",4235.14,1118,"seed894"
"0400m","Between",5391.75,1113,"seed894"
"0600m","Between",5385.38,5025,"seed894"
"0800m","Between",11031.02,7258,"seed894"
"1000m","Between",12356.89,21599,"seed894"
"0200m","Hibrido",2772.69565217391,989,"seed894"
"0400m","Hibrido",5395.59130434783,2492,"seed894"
"0600m","Hibrido",5235.55652173913,5477,"seed894"
"0800m","Hibrido",7988.71304347826,6370,"seed894"
"1000m","Hibrido",7154.11304347826,9603,"seed894"
"0200m","Degree",2610.47927927928,1133,"seed894"
"0400m","Degree",3838.83243243243,1152,"seed894"
"0600m","Degree",5814.08288288288,6444,"seed894"
"0800m","Degree",10473.0378378378,9052,"seed894"
"1000m","Degree",10855.6396396396,19656,"seed894"
