"Tamanho","Tecnica","Tempo","qtd_veh","seed"
"0200m","Between",6197.6385,7378,"seed4976"
"0400m","Between",9522.5255,12265,"seed4976"
"0600m","Between",10153.716,12309,"seed4976"
"0800m","Between",14712.612,14422,"seed4976"
"1000m","Between",14651.543,14496,"seed4976"
"0200m","Hibrido",4334.265,5074,"seed4976"
"0400m","Hibrido",7546.26260869565,10116,"seed4976"
"0600m","Hibrido",9515.26804347826,11778,"seed4976"
"0800m","Hibrido",13810.1967391304,13132,"seed4976"
"1000m","Hibrido",14731.0517391304,13245,"seed4976"
"0200m","Degree",6258.42,9209,"seed4976"
"0400m","Degree",9907.92,12609,"seed4976"
"0600m","Degree",10564.56,12310,"seed4976"
"0800m","Degree",15307.92,14423,"seed4976"
"1000m","Degree",15244.38,14497,"seed4976"
"0200m","Fluxo",4790.78028169014,5810,"seed5000"
"0400m","Fluxo",5469.28225352113,11057,"seed5000"
"0600m","Fluxo",9256.12647887324,13022,"seed5000"
"0800m","Fluxo",14514.4707042254,14616,"seed5000"
"1000m","Fluxo",15488.378028169,14791,"seed5000"
"0200m","Between",6215.55075,7384,"seed5000"
"0400m","Between",9550.04725,12273,"seed5000"
"0600m","Between",10183.062,12318,"seed5000"
"0800m","Between",14755.134,14432,"seed5000"
"1000m","Between",14693.8885,14506,"seed5000"
"0200m","Hibrido",4345.02,5247,"seed5000"
"0400m","Hibrido",7564.98782608696,10462,"seed5000"
"0600m","Hibrido",9538.87913043478,12181,"seed5000"
"0800m","Hibrido",13844.4652173913,13581,"seed5000"
"1000m","Hibrido",14767.6052173913,13698,"seed5000"
"0200m","Degree",6270.94936936937,9209,"seed5000"
"0400m","Degree",9927.75567567567,12609,"seed5000"
"0600m","Degree",10585.7102702703,12310,"seed5000"
"0800m","Degree",15338.5664864865,14423,"seed5000"
"1000m","Degree",15274.8992792793,14497,"seed5000"
"0200m","Fluxo",4842.05774647887,5785,"seed583"
"0400m","Fluxo",5527.82197183099,11010,"seed583"
"0600m","Fluxo",9355.19816901409,12966,"seed583"
"0800m","Fluxo",14669.8243661972,14553,"seed583"
"1000m","Fluxo",15654.1557746479,14728,"seed583"
"0200m","Between",6502.14675,7354,"seed583"
"0400m","Between",9990.39525,12223,"seed583"
"0600m","Between",10652.598,12267,"seed583"
"0800m","Between",15435.486,14373,"seed583"
"1000m","Between",15371.4165,14447,"seed583"
"0200m","Hibrido",4527.855,5032,"seed583"
"0400m","Hibrido",7883.31652173913,10032,"seed583"
"0600m","Hibrido",9940.26760869565,11681,"seed583"
"0800m","Hibrido",14427.0293478261,13024,"seed583"
"1000m","Hibrido",15389.0143478261,13136,"seed583"
"0200m","Degree",6415.03711711712,9170,"seed583"
"0400m","Degree",10155.8659459459,12556,"seed583"
"0600m","Degree",10828.9383783784,12258,"seed583"
"0800m","Degree",15691.0010810811,14363,"seed583"
"1000m","Degree",15625.870990991,14436,"seed583"
"0200m","Fluxo",4702.87605633803,5793,"seed7567"
"0400m","Fluxo",5368.92845070422,11024,"seed7567"
"0600m","Fluxo",9086.28929577465,12983,"seed7567"
"0800m","Fluxo",14248.1501408451,14572,"seed7567"
"1000m","Fluxo",15204.1876056338,14747,"seed7567"
"0200m","Between",6394.67325,7338,"seed7567"
"0400m","Between",9825.26475,12197,"seed7567"
"0600m","Between",10476.522,12241,"seed7567"
"0800m","Between",15180.354,14343,"seed7567"
"1000m","Between",15117.3435,14416,"seed7567"
"0200m","Hibrido",4484.835,5011,"seed7567"
"0400m","Hibrido",7808.41565217391,9992,"seed7567"
"0600m","Hibrido",9845.82326086957,11634,"seed7567"
"0800m","Hibrido",14289.9554347826,12971,"seed7567"
"1000m","Hibrido",15242.8004347826,13082,"seed7567"
"0200m","Degree",6258.42,9167,"seed7567"
"0400m","Degree",9907.92,12552,"seed7567"
"0600m","Degree",10564.56,12254,"seed7567"
"0800m","Degree",15307.92,14358,"seed7567"
"1000m","Degree",15244.38,14432,"seed7567"
"0200m","Fluxo",4776.12957746479,5793,"seed894"
